Algorithm,Map,Run,Computation Time
Skeletonize,Map1,1,"1.9852383136749268
"
Skeletonize,Map1,2,"1.9772248268127441
"
Skeletonize,Map1,3,"1.978996992111206
"
Skeletonize,Map1,4,"1.987583875656128
"
Skeletonize,Map1,5,"2.026413917541504
"
Skeletonize,Map1,6,"2.0268049240112305
"
Skeletonize,Map1,7,"2.0215587615966797
"
Skeletonize,Map1,8,"2.053069591522217
"
Skeletonize,Map1,9,"2.0424375534057617
"
Skeletonize,Map1,10,"2.030214309692383
"
Skeletonize,Map1,11,"2.0272130966186523
"
Skeletonize,Map1,12,"2.021390438079834
"
Skeletonize,Map1,13,"2.0127084255218506
"
Skeletonize,Map1,14,"2.041179656982422
"
Skeletonize,Map1,15,"2.0407066345214844
"
Skeletonize,Map1,16,"2.0340921878814697
"
Skeletonize,Map1,17,"1.9717199802398682
"
Skeletonize,Map1,18,"2.053659200668335
"
Skeletonize,Map1,19,"2.05611252784729
"
Skeletonize,Map1,20,"2.0444774627685547
"
Skeletonize,Map1,21,"2.0504953861236572
"
Skeletonize,Map1,22,"2.0335185527801514
"
Skeletonize,Map1,23,"2.0317575931549072
"
Skeletonize,Map1,24,"2.05315899848938
"
Skeletonize,Map1,25,"2.0364911556243896
"
Skeletonize,Map1,26,"2.0336194038391113
"
Skeletonize,Map1,27,"2.049208402633667
"
Skeletonize,Map1,28,"2.043461561203003
"
Skeletonize,Map1,29,"2.056495428085327
"
Skeletonize,Map1,30,"2.0556812286376953
"
Skeletonize,Map1,31,"2.020232915878296
"
Skeletonize,Map1,32,"2.030308723449707
"
Skeletonize,Map1,33,"2.047027587890625
"
Skeletonize,Map1,34,"2.038353443145752
"
Skeletonize,Map1,35,"2.044454336166382
"
Skeletonize,Map1,36,"2.0354719161987305
"
Skeletonize,Map1,37,"2.048788070678711
"
Skeletonize,Map1,38,"2.033198118209839
"
Skeletonize,Map1,39,"2.026918411254883
"
Skeletonize,Map1,40,"2.049966335296631
"
Skeletonize,Map1,41,"2.10558819770813
"
Skeletonize,Map1,42,"2.095790147781372
"
Skeletonize,Map1,43,"2.0881311893463135
"
Skeletonize,Map1,44,"2.0946149826049805
"
Skeletonize,Map1,45,"2.0789413452148438
"
Skeletonize,Map1,46,"2.0878796577453613
"
Skeletonize,Map1,47,"2.091857433319092
"
Skeletonize,Map1,48,"2.082904577255249
"
Skeletonize,Map1,49,"2.1035349369049072
"
Skeletonize,Map1,50,"2.0973215103149414
"
Skeletonize,Map1,51,"2.0978453159332275
"
Skeletonize,Map1,52,"2.0813305377960205
"
Skeletonize,Map1,53,"2.110990047454834
"
Skeletonize,Map1,54,"2.098315954208374
"
Skeletonize,Map1,55,"2.0915486812591553
"
Skeletonize,Map1,56,"2.0716986656188965
"
Skeletonize,Map1,57,"2.0837318897247314
"
Skeletonize,Map1,58,"2.1024909019470215
"
Skeletonize,Map1,59,"2.0847036838531494
"
Skeletonize,Map1,60,"2.0781540870666504
"
