Algorithm,Map,Run,Computation Time
Skeletonize,Map1,1,"1.2706263065338135
"
Skeletonize,Map1,2,"1.3075127601623535
"
Skeletonize,Map1,3,"1.2785956859588623
"
Skeletonize,Map1,4,"1.2656118869781494
"
Skeletonize,Map1,5,"1.260619878768921
"
Skeletonize,Map1,6,"1.3234586715698242
"
Skeletonize,Map1,7,"1.269601583480835
"
Skeletonize,Map1,8,"1.2646372318267822
"
Skeletonize,Map1,9,"1.2766108512878418
"
Skeletonize,Map1,10,"1.2815706729888916
"
Skeletonize,Map1,11,"1.2766032218933105
"
Skeletonize,Map1,12,"1.274609088897705
"
Skeletonize,Map1,13,"1.2755870819091797
"
Skeletonize,Map1,14,"1.2865777015686035
"
Skeletonize,Map1,15,"1.2786049842834473
"
Skeletonize,Map1,16,"1.2807414531707764
"
Skeletonize,Map1,17,"1.290574073791504
"
Skeletonize,Map1,18,"1.2995226383209229
"
Skeletonize,Map1,19,"1.2787272930145264
"
Skeletonize,Map1,20,"1.3084983825683594
"
Skeletonize,Map1,21,"1.2759418487548828
"
Skeletonize,Map1,22,"1.355395793914795
"
Skeletonize,Map1,23,"1.2805712223052979
"
Skeletonize,Map1,24,"1.2966558933258057
"
Skeletonize,Map1,25,"1.3025150299072266
"
Skeletonize,Map1,26,"1.3295822143554688
"
Skeletonize,Map1,27,"1.2837271690368652
"
Skeletonize,Map1,28,"1.3074932098388672
"
Skeletonize,Map1,29,"1.3144831657409668
"
Skeletonize,Map1,30,"1.3334519863128662
"
Skeletonize,Map1,31,"1.2925610542297363
"
Skeletonize,Map1,32,"1.3284437656402588
"
Skeletonize,Map1,33,"1.379575490951538
"
Skeletonize,Map1,34,"1.3553757667541504
"
Skeletonize,Map1,35,"1.3095180988311768
"
Skeletonize,Map1,36,"1.2865588665008545
"
Skeletonize,Map1,37,"1.3156371116638184
"
Skeletonize,Map1,38,"1.2905659675598145
"
Skeletonize,Map1,39,"1.3194968700408936
"
Skeletonize,Map1,40,"1.3365774154663086
"
Skeletonize,Map1,41,"1.315479040145874
"
Skeletonize,Map1,42,"1.3035407066345215
"
Skeletonize,Map1,43,"1.280583143234253
"
Skeletonize,Map1,44,"1.2895379066467285
"
Skeletonize,Map1,45,"1.2935380935668945
"
Skeletonize,Map1,46,"1.305506706237793
"
Skeletonize,Map1,47,"1.2816052436828613
"
Skeletonize,Map1,48,"1.3036682605743408
"
Skeletonize,Map1,49,"1.3300645351409912
"
Skeletonize,Map1,50,"1.3454012870788574
"
Skeletonize,Map1,51,"1.265613079071045
"
Skeletonize,Map1,52,"1.2915704250335693
"
Skeletonize,Map1,53,"1.3274469375610352
"
Skeletonize,Map1,54,"1.3224892616271973
"
Skeletonize,Map1,55,"1.288550853729248
"
Skeletonize,Map1,56,"1.402247428894043
"
Skeletonize,Map1,57,"1.308518886566162
"
Skeletonize,Map1,58,"1.2825982570648193
"
Skeletonize,Map1,59,"1.2823383808135986
"
Skeletonize,Map1,60,"1.2905693054199219
"
Skeletonize,Map1,61,"1.2995431423187256
"
Skeletonize,Map1,62,"1.296682357788086
"
Skeletonize,Map1,63,"1.2825677394866943
"
